source_vector,source_label,source_class,relationship_type,target_vector,target_label,target_class
"[0.03797651454806328, -0.02530680224299431, -0.0018209429690614343, 0.015907911583781242, -0.037886928766965866, 0.04613114148378372, -0.01814885064959526, 0.0006288758595474064, 0.04740652069449425, -0.02513393945991993]",Lepuh Daun,['PenyakitPadi'],memilikiGejala,"[0.03817359358072281, 0.0016955265309661627, 0.04352473095059395, -0.005108173005282879, 0.047649700194597244, -0.034246187657117844, 0.009116776287555695, -0.0004236074164509773, -0.002220751019194722, -0.01596645824611187]",Daun mengering,['Gejala']
"[0.03797651454806328, -0.02530680224299431, -0.0018209429690614343, 0.015907911583781242, -0.037886928766965866, 0.04613114148378372, -0.01814885064959526, 0.0006288758595474064, 0.04740652069449425, -0.02513393945991993]",Lepuh Daun,['PenyakitPadi'],memilikiGejala,"[0.037949640303850174, 0.025556517764925957, -0.030731717124581337, -0.04940807446837425, -0.02682374231517315, 0.04800077900290489, -0.044594161212444305, -0.01286396849900484, -0.032189760357141495, -0.026384051889181137]",Daun terdapat luka,['Gejala']
"[0.03793172538280487, -0.0405346043407917, -0.016672231256961823, 0.00704793119803071, 0.047218382358551025, -0.017419466748833656, -0.02889103628695011, -0.021859196946024895, -0.018587281927466393, -0.027217458933591843]",Lalat Tunas,['HamaPadi'],memilikiGejala,"[0.03837067633867264, 0.02869785577058792, -0.011129597201943398, -0.026124257594347, 0.033186327666044235, -0.014623516239225864, 0.03638240322470665, -0.001476092147640884, 0.048151977360248566, -0.006798976566642523]",Tanaman tumbuh terhambat,['Gejala']
"[0.03793172538280487, -0.0405346043407917, -0.016672231256961823, 0.00704793119803071, 0.047218382358551025, -0.017419466748833656, -0.02889103628695011, -0.021859196946024895, -0.018587281927466393, -0.027217458933591843]",Lalat Tunas,['HamaPadi'],memilikiGejala,"[0.03735840320587158, 0.04454953223466873, 0.03323126584291458, 0.013640177436172962, 0.01656637154519558, -0.010867233388125896, -0.02639104053378105, -0.00970651488751173, 0.01669205352663994, 0.046113502234220505]",Daun menguning,['Gejala']
"[0.03793172538280487, -0.0405346043407917, -0.016672231256961823, 0.00704793119803071, 0.047218382358551025, -0.017419466748833656, -0.02889103628695011, -0.021859196946024895, -0.018587281927466393, -0.027217458933591843]",Lalat Tunas,['HamaPadi'],memilikiGejala,"[0.037689853459596634, 0.01723526604473591, 0.023130804300308228, 0.01920403353869915, 0.046787064522504807, -0.0005927419988438487, 0.033101148903369904, -0.04329478368163109, -0.03495381399989128, -0.038468461483716965]",Daun melengkung,['Gejala']
"[0.03793172538280487, -0.0405346043407917, -0.016672231256961823, 0.00704793119803071, 0.047218382358551025, -0.017419466748833656, -0.02889103628695011, -0.021859196946024895, -0.018587281927466393, -0.027217458933591843]",Lalat Tunas,['HamaPadi'],memilikiGejala,"[0.03637301176786423, 0.009537891484797001, 0.006502901203930378, 0.018720602616667747, -0.011116772890090942, -0.008980588987469673, 0.03728082776069641, -0.004444097634404898, -0.035171590745449066, 0.0002760907809715718]",Tanaman layu,['Gejala']
"[0.034428052604198456, -0.014060099609196186, 0.027561018243432045, -0.016284840181469917, 0.03251335024833679, 0.00024198646133299917, 0.00038985273567959666, -0.02287101559340954, 0.03132294863462448, -0.016929224133491516]",Ulat Tanduk Tembakau,['HamaPadi'],memilikiGejala,"[0.03445278853178024, -0.05054202675819397, -0.02711446024477482, -0.038783516734838486, 0.03612186014652252, -0.036361873149871826, 0.03707829862833023, 0.013724318705499172, -0.021379251033067703, -0.01320184301584959]",Daun mengalami kerusakan,['Gejala']
"[0.03775256127119064, -0.0014458115911111236, 0.02392261102795601, -0.028391992673277855, -0.01236037164926529, 0.028378106653690338, 0.02814021147787571, -0.011811483651399612, 0.017437512055039406, -0.0355515331029892]",Tungau Daun Padi,['HamaPadi'],memilikiGejala,"[0.037833187729120255, 0.045964233577251434, 0.010654931887984276, -0.032444026321172714, -0.04554993286728859, 0.022769199684262276, 0.007476150989532471, 0.028667045757174492, -0.04377364367246628, -0.03180119767785072]",Daun terdapat garis,['Gejala']
"[0.03775256127119064, -0.0014458115911111236, 0.02392261102795601, -0.028391992673277855, -0.01236037164926529, 0.028378106653690338, 0.02814021147787571, -0.011811483651399612, 0.017437512055039406, -0.0355515331029892]",Tungau Daun Padi,['HamaPadi'],memilikiGejala,"[0.03735840320587158, 0.04454953223466873, 0.03323126584291458, 0.013640177436172962, 0.01656637154519558, -0.010867233388125896, -0.02639104053378105, -0.00970651488751173, 0.01669205352663994, 0.046113502234220505]",Daun menguning,['Gejala']
"[0.03775256127119064, -0.0014458115911111236, 0.02392261102795601, -0.028391992673277855, -0.01236037164926529, 0.028378106653690338, 0.02814021147787571, -0.011811483651399612, 0.017437512055039406, -0.0355515331029892]",Tungau Daun Padi,['HamaPadi'],memilikiGejala,"[0.03817359358072281, 0.0016955265309661627, 0.04352473095059395, -0.005108173005282879, 0.047649700194597244, -0.034246187657117844, 0.009116776287555695, -0.0004236074164509773, -0.002220751019194722, -0.01596645824611187]",Daun mengering,['Gejala']
"[0.037761520594358444, -0.018400251865386963, -0.03310713171958923, -0.006619994528591633, -0.04938143491744995, -0.03891177102923393, -0.029711350798606873, -0.0073138694278895855, 0.01063627004623413, -0.035134829580783844]",Tungau Malai Padi,['HamaPadi'],memilikiGejala,"[0.03735840320587158, 0.04454953223466873, 0.03323126584291458, 0.013640177436172962, 0.01656637154519558, -0.010867233388125896, -0.02639104053378105, -0.00970651488751173, 0.01669205352663994, 0.046113502234220505]",Daun menguning,['Gejala']
